Year,Month,meanMax,meanMin,meanPcp
2001,January,9.112903225806452,4.232258064516129,5.658064516129032
2001,February,8.964285714285714,2.7964285714285713,1.3
2001,March,11.483870967741936,5.058064516129032,5.258064516129032
2001,April,14.85,7.25,5.1066666666666665
2001,May,16.7,9.473333333333333,2.806451612903226
2001,June,18.79,11.766666666666667,3.433333333333333
2001,July,21.34193548387097,14.216129032258065,0.9
2001,August,21.45483870967742,14.561290322580644,3.6838709677419357
2001,September,18.59,12.196666666666667,2.026666666666667
2001,October,12.938709677419356,7.77741935483871,6.903225806451613
2001,November,10.73,6.543333333333333,6.033333333333333
2001,December,6.929411764705883,2.06,9.36774193548387
2002,January,7.016129032258065,3.2516129032258063,6.412903225806452
2002,February,8.064285714285715,3.1714285714285713,5.4714285714285715
2002,March,7.658064516129032,2.4161290322580644,3.7677419354838713
2002,April,12.653333333333334,5.916666666666667,3.8533333333333335
2002,May,15.703225806451613,8.503225806451614,3.0580645161290323
2002,June,21.136666666666667,12.756666666666666,1.5133333333333334
2002,July,22.490322580645163,14.535483870967742,1.335483870967742
2002,August,22.65483870967742,14.180645161290323,0.03225806451612903
2002,September,18.773333333333333,11.616666666666667,2.3333333333333335
2002,October,12.906451612903226,7.77741935483871,0.6193548387096774
2002,November,10.633333333333333,6.333333333333333,9.566666666666666
2002,December,8.19032258064516,4.380645161290323,5.754838709677419
2003,January,9.203225806451613,5.080645161290323,6.258064516129032
2003,February,7.914285714285715,3,1.5071428571428571
2003,March,10.293548387096774,5.37741935483871,6.987096774193549
2003,April,12.443333333333333,6.7299999999999995,5.6000000000000005
2003,May,18.314285714285713,11.528571428571428,1.2333333333333334
2003,June,21.19,13.076666666666666,0.136
2003,July,23.912903225806453,14.90967741935484,NaN
2003,August,23.293548387096774,14.596774193548388,0.27096774193548384
2003,September,19.906666666666666,12.123333333333333,0.6095238095238095
2003,October,14.193548387096774,9.470967741935484,10.864516129032259
2003,November,7.7299999999999995,3.0533333333333332,9.38
2003,December,7.406451612903226,3.458064516129032,5.683870967741935
2004,January,6.464516129032258,3.096774193548387,8.177777777777777
2004,February,8.889655172413793,4.537931034482758,3.9379310344827587
2004,March,11.2,5.812903225806451,5.619354838709677
2004,April,15.846666666666666,7.753333333333333,0.66
2004,May,17.951612903225808,10.8,4.425806451612903
2004,June,21.93,13.113333333333333,0.8333333333333334
2004,July,24.229032258064517,15.558064516129033,0.5870967741935483
2004,August,23.309677419354838,15.664516129032258,3.2129032258064516
2004,September,17.576666666666668,11.893333333333333,3.98
2004,October,13.72258064516129,8.85483870967742,5.012903225806451
2004,November,9.153333333333332,5.326666666666666,8.94
2004,December,7.7,4.051612903225807,8.412903225806451
2005,January,6.741935483870968,2.825806451612903,12.051612903225806
2005,February,8.478571428571428,1.8857142857142857,1.75
2005,March,11.674193548387096,5.993548387096774,5.47741935483871
2005,April,14.253333333333334,7.096666666666667,4.1066666666666665
2005,May,18.15483870967742,11.07741935483871,2.9483870967741934
