Year,Month,meanMax,meanMin,meanPcp
2018,January,7.912903225806452,4.661290322580645,10.870967741935484
2018,February,6.428571428571429,1.8678571428571429,4.667857142857143
2018,March,10.174193548387096,4.054838709677419,4.596774193548387
2018,April,13.363333333333333,6.783333333333333,5.963333333333334
2018,May,20.438709677419354,11.680645161290322,0.029032258064516127
2018,June,20.203333333333333,13,1.58
2018,July,25.13225806451613,15.138709677419355,0.45483870967741935
2018,August,24.058064516129033,14.883870967741936,0.16129032258064516
2018,September,18.525925925925925,11.977777777777778,5.1
2018,October,14.32,8.08,4.053333333333334
2018,November,10.953333333333333,6.45,9.76
2018,December,8.326666666666666,3.84,10.423333333333334
